File:      TAMURAHW.DAT                                                         
Status:    19950628                                                             
Contents:  Tidal potential catalogue of Tamura (1987) transformed into HW95     
           normalization and format by Hans-Georg Wenzel, May 1995.
           Darwin names added in June 1995.             
                                                                      
Reference: Tamura, Y. (1987): A harmonic development of the tide
             generating potential. Bulletin d'Informations
             Marees Terrestres No. 99, 6817-6855, Bruxelles 1987.
                                                                                
                                                                                
Format of the file:                                                             
                                                                                
Col.  1...  6: sequence number (1...1200). The end of this file is marked
               by a sequence number of 999999.                                      
Col.  7...  9: body generating the potential. MO = Moon, SU = Sun,              
               ME = Mercury, VE= Venus, MA = Mars, JU= Jupiter,                 
               SA = Saturn, FM = quadrupole moment of the Earth on Moon,        
               FS = quadrupole moment of the Earth on Sun.
Col. 10... 11: l = degree of the spherical harmonic development.                
Col. 12... 14: m = order  of the spherical harmonic development,                
               equal                                                            
               k1 = integer argument number for the mean local Moontime,        
                    period 24 hours 50 min.                                     
Col. 15... 17: k2 = integer argument number for the mean longitude of the       
                    Moon, period 27.3 days.                                     
Col. 18... 20: k3 = integer argument number for the mean longitude of the       
                    Sun, period 365.25 days.                                    
Col. 21... 23: k4 = integer argument number for the mean longitude of the       
                    lunar perigee, period 8.8 years.                            
Col. 24... 26: k5 = integer argument number for the negative mean longitude     
                    of the lunar ascending node, period 18.6 years.             
Col. 27... 29: k6 = integer argument number for the mean longitude of the       
                    solar perigee, period 20942 years.                          
Col. 30... 32: k7 = integer argument number for the mean longitude of Mercury,  
                    period 88 days.                                             
Col. 33... 35: k8 = integer argument number for the mean longitude of Venus,    
                    period 225 days.                                            
Col. 36... 38: k9 = integer argument number for the mean longitude of Mars,     
                    period 1.88 years.                                          
Col. 39... 41: k10= integer argument number for the mean longitude of Jupiter,  
                    period 11.86 years.                                         
Col. 42... 44: k11= integer argument number for the mean longitude of Saturn,   
                    period 29.4 years.                                          
Col. 45... 56: fr=  frequency of the tidal wave at J2000 in degree per hour.    
Col. 57... 68: C0 = COS-coefficient of the tidal potential in                   
                    10**-10 m**2/s**2. The C0 coefficient has to be multiplied  
                    with the COS of the argument.                               
Col. 69... 80: S0 = SIN-coefficient of the tidal potential in                   
                    10**-10 m**2/s**2. The S0 coefficient has to be multiplied  
                    with the SIN of the argument.                               
Col. 81... 90: C1 = t*COS-coefficent of the tidal potential in 10**-10          
                    m**2/s**2 per Julian century. The C1 coefficient has to     
                    be multiplied with the time difference between the epoch    
                    and J2000 (in Julian centuries) and with the COS of         
                    the argument.                                               
Col. 91...100: S1 = t*SIN-coefficent of the tidal potential in 10**-10          
                    m**2/s**2 per Julian century. The S1 coefficient has to     
                    be multiplied with the time difference between the epoch    
                    and J2000 (in Julian centuries) and with the SIN of         
                    the argument.                                               
Col.102...105: nam= Darwin name of the tidal wave (for very few main tidal      
                    waves available only).                                      
                                                                                
number    l  m  k  k  k  k  k  k  k  k  k  k  frequency           C0          S0        C1        S1
   223    2  0  4 -2  0  1  0  0  0  0  0  0  2.11613521  -23331688.          0.    11778.        0.     
   224    2  0  4 -2  0  2  0  0  0  0  0  0  2.11834161   -2178881.          0.        0.        0.     
   225    3  0  4 -2  1  0  0  0  0  0  0  0  2.11857061          0.    -422899.        0.        0.     
   226    3  0  4 -2  1  1  0  0  0  0  0  0  2.12077702          0.    -267094.        0.        0.     
   227    2  0  4 -1 -2  0  1  0  0  0  0  0  2.14571577    -777330.          0.        0.        0.     
   228    2  0  4 -1 -2  1  1  0  0  0  0  0  2.14792218    -270888.          0.        0.        0.     
   229    2  0  4 -1 -1  0  0  0  0  0  0  0  2.15035563     482887.          0.        0.        0.     
   230    2  0  4 -1 -1  1  0  0  0  0  0  0  2.15256203     211999.          0.        0.        0.     
   231    2  0  4 -1  0  0 -1  0  0  0  0  0  2.15499548     800886.          0.        0.        0.     
   232    2  0  4 -1  0  1 -1  0  0  0  0  0  2.15720188     294443.          0.        0.        0.     
   233    2  0  4  0 -4  0  0  0  0  0  0  0  2.17749883    -506442.          0.        0.        0.     
   234    3  0  4  0 -3  0  0  0  0  0  0  0  2.18214064          0.    -222578.        0.        0.     
   235    2  0  4  0 -2  0  0  0  0  0  0  0  2.18678245  -46639821.          0.    58889.        0. MQM     
   236    2  0  4  0 -2  1  0  0  0  0  0  0  2.18898886  -19339037.          0.    23555.        0.     
   237    2  0  4  0 -2  2  0  0  0  0  0  0  2.19119527   -1860882.          0.        0.        0.     
   238    3  0  4  0 -1  0  0  0  0  0  0  0  2.19142427          0.   -2314814.        0.        0.     
   239    3  0  4  0 -1  1  0  0  0  0  0  0  2.19363067          0.   -1446758.        0.        0.     
   240    3  0  4  0 -1  2  0  0  0  0  0  0  2.19583708          0.    -289352.        0.        0.     
   241    4  0  4  0  0  0  0  0  0  0  0  0  2.19606608      43893.          0.        0.        0.     
   242    2  0  4  0  0  2  0  0  0  0  0  0  2.20047889     282666.          0.        0.        0.     
   243    2  0  4  0  0  3  0  0  0  0  0  0  2.20268530     117777.          0.        0.        0.     
   244    2  0  4  1 -2  0 -1  0  0  0  0  0  2.22784913     624220.          0.        0.        0.     
   245    2  0  4  1 -2  1 -1  0  0  0  0  0  2.23005554     235555.          0.        0.        0.     
   246    2  0  4  2 -4  0  0  0  0  0  0  0  2.25963611     176666.          0.        0.        0.     
   247    2  0  5 -5  1  0  1  0  0  0  0  0  2.54438317    -306221.          0.        0.        0.     
   248    2  0  5 -5  1  1  1  0  0  0  0  0  2.54658958    -117777.          0.        0.        0.     
   249    2  0  5 -4 -1 -1  0  0  0  0  0  0  2.57395982    -129555.          0.        0.        0.     
   250    2  0  5 -4 -1  0  0  0  0  0  0  0  2.57616623    -471109.          0.        0.        0.     
   251    2  0  5 -4  1  0  0  0  0  0  0  0  2.58544985   -2626434.          0.        0.        0.     
   252    2  0  5 -4  1  1  0  0  0  0  0  0  2.58765626   -1083551.          0.        0.        0.     
   253    2  0  5 -3 -1  0  1  0  0  0  0  0  2.61723683   -1048218.          0.        0.        0.     
   254    2  0  5 -3 -1  1  1  0  0  0  0  0  2.61944323    -423998.          0.        0.        0.     
   255    2  0  5 -2 -3  0  0  0  0  0  0  0  2.64901988    -317999.          0.        0.        0.     
   256    3  0  5 -2 -2  0  0  0  0  0  0  0  2.65366169          0.     -89031.        0.        0.     
   257    2  0  5 -2 -1  0  0  0  0  0  0  0  2.65830351  -13603281.          0.        0.        0.     
   258    2  0  5 -2 -1  1  0  0  0  0  0  0  2.66050991   -5629756.          0.        0.        0.     
   259    2  0  5 -2 -1  2  0  0  0  0  0  0  2.66271632    -529998.          0.        0.        0.     
   260    3  0  5 -2  0  0  0  0  0  0  0  0  2.66294532          0.    -400641.        0.        0.     
   261    3  0  5 -2  0  1  0  0  0  0  0  0  2.66515173          0.    -244836.        0.        0.     
   262    2  0  5 -1 -3  0  1  0  0  0  0  0  2.69009048    -117777.          0.        0.        0.     
   263    2  0  5 -1 -1  0 -1  0  0  0  0  0  2.69937018     259110.          0.        0.        0.     
   264    2  0  5  0 -3  0  0  0  0  0  0  0  2.73115716   -5252869.          0.        0.        0.     
   265    2  0  5  0 -3  1  0  0  0  0  0  0  2.73336357   -2178881.          0.        0.        0.     
   266    2  0  5  0 -3  2  0  0  0  0  0  0  2.73556997    -211999.          0.        0.        0.     
   267    3  0  5  0 -2  0  0  0  0  0  0  0  2.73579897          0.    -400641.        0.        0.     
   268    3  0  5  0 -2  1  0  0  0  0  0  0  2.73800538          0.    -244836.        0.        0.     
   269    2  0  6 -5  0  0  1  0  0  0  0  0  3.08875788    -188444.          0.        0.        0.     
   270    2  0  6 -4  0  0  0  0  0  0  0  0  3.12982456   -1401550.          0.        0.        0.     
   271    2  0  6 -4  0  1  0  0  0  0  0  0  3.13203097    -577109.          0.        0.        0.     
   272    2  0  6 -3 -2  0  1  0  0  0  0  0  3.16161153    -188444.          0.        0.        0.     
   273    2  0  6 -2 -2  0  0  0  0  0  0  0  3.20267821   -2249547.          0.        0.        0.     
   274    2  0  6 -2 -2  1  0  0  0  0  0  0  3.20488462    -930441.          0.        0.        0.     
   275    3  0  6 -2 -1  0  0  0  0  0  0  0  3.20732003          0.    -133547.        0.        0.     
   276    2  0  6  0 -4  0  0  0  0  0  0  0  3.27553187    -541776.          0.        0.        0.     
   277    2  0  6  0 -4  1  0  0  0  0  0  0  3.27773827    -223777.          0.        0.        0.     
   278    2  0  7 -4 -1  0  0  0  0  0  0  0  3.67419927    -376887.          0.        0.        0.     
   279    2  0  7 -4 -1  1  0  0  0  0  0  0  3.67640567    -153111.          0.        0.        0.     
   280    2  0  7 -2 -3  0  0  0  0  0  0  0  3.74705292    -306221.          0.        0.        0.     
   281    2  0  7 -2 -3  1  0  0  0  0  0  0  3.74925933    -129555.          0.        0.        0.     
   282    2  1 -7  4  2  0  0  0  0  0  0  0 10.82249467          0.     203996.        0.        0.     
   283    2  1 -6  0  5  0  0  0  0  0  0  0 11.22116207          0.     149597.        0.        0.     
   284    2  1 -6  2  3 -1  0  0  0  0  0  0 11.29180931          0.     163197.        0.        0.     
   285    2  1 -6  2  3  0  0  0  0  0  0  0 11.29401572          0.     856785.        0.        0.     
   286    2  1 -6  4  1 -1  0  0  0  0  0  0 11.36466297          0.     190397.        0.        0.     
   287    2  1 -6  4  1  0  0  0  0  0  0  0 11.36686937          0.    1033581.        0.        0.     
   288    2  1 -6  5  1  0 -1  0  0  0  0  0 11.40793605          0.     149597.        0.        0.     
   289    2  1 -6  6 -1  0  0  0  0  0  0  0 11.43972303          0.     203996.        0.        0.     
   290    3  1 -5  0  3  0  0  0  0  0  0  0 11.76089496     165256.          0.        0.        0.     
   291    2  1 -5  0  4 -1  0  0  0  0  0  0 11.76333037          0.     285595.        0.        0.     
   292    2  1 -5  0  4  0  0  0  0  0  0  0 11.76553677          0.    1495973.        0.        0.     
   293    2  1 -5  1  2  0  1  0  0  0  0  0 11.79732375          0.    -149597.        0.        0.     
   294    3  1 -5  2  1 -1  0  0  0  0  0  0 11.83154221     141648.          0.        0.        0.     
   295    3  1 -5  2  1  0  0  0  0  0  0  0 11.83374861     365924.          0.        0.        0.     
   296    2  1 -5  2  2 -1  0  0  0  0  0  0 11.83618402          0.    1183179.        0.        0.     
   297    2  1 -5  2  2  0  0  0  0  0  0  0 11.83839043          0.    6269487.        0.        0.     
   298    2  1 -5  3  2  0 -1  0  0  0  0  0 11.87945711          0.     516791.        0.        0.     
   299    2  1 -5  4  0 -1  0  0  0  0  0  0 11.90903767          0.     734387.        0.        0.     
   300    2  1 -5  4  0  0  0  0  0  0  0  0 11.91124408          0.    3889530.        0.        0.     
   301    2  1 -5  5  0  0 -1  0  0  0  0  0 11.95231076          0.     503191.        0.        0.     
   302    2  1 -5  6 -2  0  0  0  0  0  0  0 11.98409773          0.     231196.        0.        0.     
   303    2  1 -4 -1  3  0  1  0  0  0  0  0 12.26884480          0.    -271995.        0.        0.     
   304    2  1 -4  0  1 -2  0  0  0  0  0  0 12.29621504          0.    -122398.        0.        0.     
   305    3  1 -4  0  2 -1  0  0  0  0  0  0 12.30306326     472160.          0.        0.        0.     
   306    3  1 -4  0  2  0  0  0  0  0  0  0 12.30526967    1180399.          0.        0.        0.     
   307    2  1 -4  0  3 -1  0  0  0  0  0  0 12.30770507          0.    2760750.        0.        0.     
   308    2  1 -4  0  3  0  0  0  0  0  0  0 12.30991148          0.   14606136.        0.        0.     
   309    2  1 -4  1  1 -1  1  0  0  0  0  0 12.33949205          0.    -122398.        0.        0.     
   310    2  1 -4  1  1  0  1  0  0  0  0  0 12.34169846          0.    -720787.        0.        0.     
   311    2  1 -4  1  2  0  0  0  0  0  0  0 12.34633831          0.    -231196.        0.        0.     
   312    2  1 -4  1  3  0 -1  0  0  0  0  0 12.35097816          0.     312794.        0.        0.     
   313    2  1 -4  2 -1 -2  0  0  0  0  0  0 12.36906869          0.    -163197.        0.        0.     
   314    3  1 -4  2  0 -1  0  0  0  0  0  0 12.37591691     472160.          0.        0.        0.     
   315    3  1 -4  2  0  0  0  0  0  0  0  0 12.37812332    1192203.          0.        0.        0.     
   316    2  1 -4  2  1 -2  0  0  0  0  0  0 12.37835232          0.    -190397.        0.        0.     
   317    2  1 -4  2  1 -1  0  0  0  0  0  0 12.38055873          0.    7139871.        0.        0.     
   318    2  1 -4  2  1  0  0  0  0  0  0  0 12.38276513          0.   37848116.        0.   -27200. SGQ1 
   319    2  1 -4  2  3  0  0  0  0  0  0  0 12.39204876          0.    -135998.        0.        0.     
   320    2  1 -4  3 -1  0  1  0  0  0  0  0 12.41455211          0.    -149597.        0.        0.     
   321    3  1 -4  3  0  0 -1  0  0  0  0  0 12.41919000      82628.          0.        0.        0.     
   322    2  1 -4  3  0  0  0  0  0  0  0  0 12.41919196          0.    -190397.        0.        0.     
   323    2  1 -4  3  1 -1 -1  0  0  0  0  0 12.42162541          0.     530390.        0.        0.     
   324    2  1 -4  3  1  0 -1  0  0  0  0  0 12.42383181          0.    2855948.        0.        0.     
   325    2  1 -4  4 -1 -1  0  0  0  0  0  0 12.45341238          0.    1373575.        0.        0.     
   326    2  1 -4  4 -1  0  0  0  0  0  0  0 12.45561879          0.    7316668.        0.        0.     
   327    2  1 -4  4  1  0  0  0  0  0  0  0 12.46490241          0.    -353594.        0.        0.     
   328    2  1 -4  4  1  1  0  0  0  0  0  0 12.46710882          0.     163197.        0.        0.     
   329    2  1 -4  5 -1 -1 -1  0  0  0  0  0 12.49447906          0.     149597.        0.        0.     
   330    2  1 -4  5 -1  0 -1  0  0  0  0  0 12.49668547          0.     829585.        0.        0.     
   331    2  1 -3 -2  2 -2  0  0  0  0  0  0 12.76773609          0.    -163197.        0.        0.     
   332    2  1 -3 -2  4  0  0  0  0  0  0  0 12.78143253          0.    -489591.        0.        0.     
   333    2  1 -3 -1  2 -1  1  0  0  0  0  0 12.81101310          0.    -299195.        0.        0.     
   334    2  1 -3 -1  2  0  1  0  0  0  0  0 12.81321951          0.   -1754368.        0.        0.     
   335    2  1 -3  0  0 -3  0  0  0  0  0  0 12.83838334          0.    -149597.        0.        0.     
   336    2  1 -3  0  0 -2  0  0  0  0  0  0 12.84058975          0.    -775186.        0.        0.     
   337    4  1 -3  0  0 -1  0  0  0  0  0  0 12.84279615          0.     -73605.        0.        0.     
   338    4  1 -3  0  0  0  0  0  0  0  0  0 12.84500256          0.    -126180.        0.        0.     
   339    3  1 -3  0  1 -2  0  0  0  0  0  0 12.84523156     212472.          0.        0.        0.     
   340    3  1 -3  0  1 -1  0  0  0  0  0  0 12.84743797    2703114.          0.        0.        0.     
   341    3  1 -3  0  1  0  0  0  0  0  0  0 12.84964437    6846316.          0.        0.        0.     
   342    2  1 -3  0  2 -2  0  0  0  0  0  0 12.84987337          0.    -611989.        0.        0.     
   343    2  1 -3  0  2 -1  0  0  0  0  0  0 12.85207978          0.   24493157.        0.   -67999. 2Q1x    
   344    2  1 -3  0  2  0  0  0  0  0  0  0 12.85428619          0.  129809653.        0.   -95198. 2Q1 
   345    3  1 -3  0  3  0  0  0  0  0  0  0 12.85892800     165256.          0.        0.        0.     
   346    2  1 -3  0  4  0  0  0  0  0  0  0 12.86356981          0.    -203996.        0.        0.     
   347    2  1 -3  1  0 -1  1  0  0  0  0  0 12.88386676          0.    -380793.        0.        0.     
   348    2  1 -3  1  0  0  1  0  0  0  0  0 12.88607316          0.   -2203160.        0.        0.     
   349    2  1 -3  1  1 -1  0  0  0  0  0  0 12.88850661          0.    -258395.        0.        0.     
   350    3  1 -3  1  1  0 -1  0  0  0  0  0 12.89071105      82628.          0.        0.        0.     
   351    2  1 -3  1  1  0  0  0  0  0  0  0 12.89071301          0.   -1387175.        0.        0.     
   352    2  1 -3  1  2 -1 -1  0  0  0  0  0 12.89314646          0.     339994.        0.        0.     
   353    2  1 -3  1  2  0 -1  0  0  0  0  0 12.89535287          0.    1985564.        0.        0.     
   354    2  1 -3  2 -2 -2  0  0  0  0  0  0 12.91344340          0.    -176797.        0.        0.     
   355    3  1 -3  2 -1 -1  0  0  0  0  0  0 12.92029162     507572.          0.        0.        0.     
   356    3  1 -3  2 -1  0  0  0  0  0  0  0 12.92249803    1274831.          0.        0.        0.     
   357    2  1 -3  2  0 -2  0  0  0  0  0  0 12.92272703          0.    -883984.        0.        0.     
   358    2  1 -3  2  0 -1  0  0  0  0  0  0 12.92493343          0.   29552266.        0.        0. SGMx    
   359    2  1 -3  2  0  0  0  0  0  0  0  0 12.92713984          0.  156669167.        0.   -67999. SGM1
   360    3  1 -3  2  1  0  0  0  0  0  0  0 12.93178165     472160.          0.        0.        0.     
   361    2  1 -3  2  2  0  0  0  0  0  0  0 12.93642347          0.   -1305576.        0.        0.     
   362    2  1 -3  2  2  1  0  0  0  0  0  0 12.93862987          0.     503191.        0.        0.     
   363    2  1 -3  3 -1  0  0  0  0  0  0  0 12.96356667          0.    -394393.        0.        0.     
   364    2  1 -3  3  0 -1 -1  0  0  0  0  0 12.96600011          0.    1958365.        0.        0.     
   365    2  1 -3  3  0  0 -1  0  0  0  0  0 12.96820652          0.   10553409.        0.   -13600.     
   366    2  1 -3  4 -2 -1  0  0  0  0  0  0 12.99778709          0.     897584.        0.        0.     
   367    2  1 -3  4 -2  0  0  0  0  0  0  0 12.99999349          0.    4787113.        0.        0.     
   368    3  1 -3  4 -1  0  0  0  0  0  0  0 13.00463531      94432.          0.        0.        0.     
   369    2  1 -3  4  0  0 -2  0  0  0  0  0 13.00927320          0.     503191.        0.        0.     
   370    2  1 -3  4  0  0  0  0  0  0  0  0 13.00927712          0.   -1019982.        0.        0.     
   371    2  1 -3  4  0  1  0  0  0  0  0  0 13.01148353          0.     666388.        0.        0.     
   372    2  1 -3  5 -2  0 -1  0  0  0  0  0 13.04106017          0.     435192.        0.        0.     
   373    2  1 -3  5  0  0 -1  0  0  0  0  0 13.05034380          0.    -149597.        0.        0.     
   374    2  1 -2 -2  1 -3  0  0  0  0  0  0 13.30990439          0.    -149597.        0.        0.     
   375    2  1 -2 -2  1 -2  0  0  0  0  0  0 13.31211080          0.    -829585.        0.        0.     
   376    3  1 -2 -2  2  0  0  0  0  0  0  0 13.32116543    -153452.          0.        0.        0.     
   377    2  1 -2 -2  3 -1  0  0  0  0  0  0 13.32360083          0.    -543990.        0.        0.     
   378    2  1 -2 -2  3  0  0  0  0  0  0  0 13.32580724          0.   -3155143.        0.        0.     
   379    3  1 -2 -1  0  0  1  0  0  0  0  0 13.35295240    -129844.          0.        0.        0.     
   380    2  1 -2 -1  1 -1  1  0  0  0  0  0 13.35538781          0.   -1319176.        0.        0.     
   381    2  1 -2 -1  1  0  1  0  0  0  0  0 13.35759422          0.   -8255051.        0.    13600.     
   382    2  1 -2 -1  2  0  0  0  0  0  0  0 13.36223407          0.     231196.        0.        0.     
   383    2  1 -2  0 -1 -3  0  0  0  0  0  0 13.38275805          0.    -707187.        0.        0.     
   384    2  1 -2  0 -1 -2  0  0  0  0  0  0 13.38496445          0.   -3753532.        0.        0.    
   385    3  1 -2  0  0 -2  0  0  0  0  0  0 13.38960627     767260.          0.        0.        0.     
   386    3  1 -2  0  0 -1  0  0  0  0  0  0 13.39181267    9868138.          0.        0.        0.     
   387    3  1 -2  0  0  0  0  0  0  0  0  0 13.39401908   24930033.          0.   -23608.        0.    
   388    2  1 -2  0  0  0  1  0  0  0  0  0 13.39402104          0.     707187.        0.        0.     
   389    2  1 -2  0  1 -2  0  0  0  0  0  0 13.39424808          0.   -5589499.        0.   -40799.     
   390    2  1 -2  0  1 -1  0  0  0  0  0  0 13.39645449          0.  185051854.        0.   -40799. Q1x    
   391    2  1 -2  0  1  0  0  0  0  0  0  0 13.39866089          0.  981031861.        0.  -475991. Q1  
   392    4  1 -2  0  1  0  0  0  0  0  0  0 13.39866089          0.    -252361.        0.        0.     
   393    3  1 -2  0  2 -1  0  0  0  0  0  0 13.40109630    -224276.          0.        0.        0.     
   394    3  1 -2  0  2  0  0  0  0  0  0  0 13.40330271    1534519.          0.        0.        0.     
   395    3  1 -2  0  2  1  0  0  0  0  0  0 13.40550911    -188864.          0.        0.        0.     
   396    2  1 -2  0  3  0  0  0  0  0  0  0 13.40794452          0.   -2651952.        0.        0.     
   397    2  1 -2  0  3  1  0  0  0  0  0  0 13.41015093          0.    -299195.        0.        0.     
   398    2  1 -2  1 -1 -1  1  0  0  0  0  0 13.42824146          0.    -299195.        0.        0.     
   399    2  1 -2  1 -1  0  1  0  0  0  0  0 13.43044787          0.   -1808767.        0.        0.     
   400    2  1 -2  1  0 -1  0  0  0  0  0  0 13.43288131          0.    -979182.        0.        0.     
   401    3  1 -2  1  0  0 -1  0  0  0  0  0 13.43508576     141648.          0.        0.        0.     
   402    2  1 -2  1  0  0  0  0  0  0  0  0 13.43508772          0.   -5303904.        0.    13600.     
   403    2  1 -2  1  1 -1 -1  0  0  0  0  0 13.43752117          0.    1482373.        0.        0.     
   404    2  1 -2  1  1  0 -1  0  0  0  0  0 13.43972757          0.    9152635.        0.   -13600.     
   405    2  1 -2  1  1  0  1  0  0  0  0  0 13.43973150          0.     176797.        0.        0.     
   406    2  1 -2  1  1  1  1  0  0  0  0  0 13.44193790          0.    -122398.        0.        0.     
   407    2  1 -2  2 -1 -2  0  0  0  0  0  0 13.46710173          0.   -1047181.        0.        0.     
   408    2  1 -2  2 -1 -1  0  0  0  0  0  0 13.46930814          0.   35141765.        0.        0.     
   409    2  1 -2  2 -1  0  0  0  0  0  0  0 13.47151455          0.  186343831.        0.   -81599. RO1 
   410    4  1 -2  2 -1  0  0  0  0  0  0  0 13.47151455          0.     -52575.        0.        0.     
   411    3  1 -2  2  0 -1  0  0  0  0  0  0 13.47394995    -318708.          0.        0.        0.     
   412    3  1 -2  2  0  0  0  0  0  0  0  0 13.47615636    2136523.          0.        0.        0.     
   413    2  1 -2  2  1 -1  0  0  0  0  0  0 13.47859177          0.     285595.        0.        0.     
   414    2  1 -2  2  1  0  0  0  0  0  0  0 13.48079817          0.  -10730206.        0.        0.     
   415    2  1 -2  2  1  1  0  0  0  0  0  0 13.48300458          0.    3318340.        0.        0.     
   416    2  1 -2  3 -1 -1 -1  0  0  0  0  0 13.51037482          0.    1577571.        0.        0.     
   417    2  1 -2  3 -1  0 -1  0  0  0  0  0 13.51258123          0.    8567845.        0.        0.     
   418    3  1 -2  3  0  0 -1  0  0  0  0  0 13.51722304     141648.          0.        0.        0.     
   419    2  1 -2  3  1  0 -1  0  0  0  0  0 13.52186485          0.    -775186.        0.        0.     
   420    2  1 -2  3  1  1 -1  0  0  0  0  0 13.52407126          0.     122398.        0.        0.     
   421    2  1 -2  4 -1  0 -2  0  0  0  0  0 13.55364790          0.     312794.        0.        0.     
   422    2  1 -2  4 -1  0  0  0  0  0  0  0 13.55365183          0.   -2053563.        0.        0.     
   423    2  1 -2  4 -1  1  0  0  0  0  0  0 13.55585823          0.     611989.        0.        0.     
   424    2  1 -2  5 -1  0 -1  0  0  0  0  0 13.59471851          0.    -231196.        0.        0.     
   425    2  1 -1 -3  2  0  1  0  0  0  0  0 13.82911527          0.    -625589.        0.        0.     
   426    2  1 -1 -2  0 -3  0  0  0  0  0  0 13.85427910          0.    -380793.        0.        0.     
   427    2  1 -1 -2  0 -2  0  0  0  0  0  0 13.85648551          0.   -2216760.        0.        0.     
   428    2  1 -1 -2  0  0  2  0  0  0  0  0 13.86090224          0.    -176797.        0.        0.     
   429    3  1 -1 -2  1 -1  0  0  0  0  0  0 13.86333373    -177060.          0.        0.        0.     
   430    3  1 -1 -2  1  0  0  0  0  0  0  0 13.86554013    -342316.          0.        0.        0.     
   431    2  1 -1 -2  2 -1  0  0  0  0  0  0 13.86797554          0.   -2692751.        0.        0.     
   432    2  1 -1 -2  2  0  0  0  0  0  0  0 13.87018195          0.  -15394922.        0.        0.     
   433    2  1 -1 -1  0 -1  1  0  0  0  0  0 13.89976252          0.   -2094362.        0.        0.     
   434    2  1 -1 -1  0  0  1  0  0  0  0  0 13.90196892          0.  -17625281.        0.    27200.     
   435    2  1 -1 -1  1  0  0  0  0  0  0  0 13.90660877          0.     775186.        0.        0.     
   436    3  1 -1 -1  1  0  1  0  0  0  0  0 13.90661074     -82628.          0.        0.        0.     
   437    2  1 -1 -1  2  0  1  0  0  0  0  0 13.91125255          0.     448792.        0.        0.     
   438    2  1 -1  0 -2 -2  0  0  0  0  0  0 13.92933916          0.     190397.        0.        0.     
   439    3  1 -1  0 -1 -2  0  0  0  0  0  0 13.93398097     -94432.          0.        0.        0.     
   440    3  1 -1  0 -1 -1  0  0  0  0  0  0 13.93618738    -554788.          0.        0.        0.     
   441    2  1 -1  0  0 -3  0  0  0  0  0  0 13.93641638          0.     285595.        0.        0.     
   442    3  1 -1  0 -1  0  0  0  0  0  0  0 13.93839379   -1404675.          0.        0.        0.     
   443    2  1 -1  0  0 -2  0  0  0  0  0  0 13.93862279          0.  -29620264.        0.    40799.     
   444    2  1 -1  0  0 -1  0  0  0  0  0  0 13.94082919          0.  966684121.        0.   271995.     
   445    4  1 -1  0  0 -1  0  0  0  0  0  0 13.94082919          0.    -115665.        0.        0. O1x    
   446    2  1 -1  0  0  0  0  0  0  0  0  0 13.94303560          0. 5123884152.        0. -2420756. O1  
   447    4  1 -1  0  0  0  0  0  0  0  0  0 13.94303560          0.   -1030473.        0.        0.     
   448    2  1 -1  0  0  1  0  0  0  0  0  0 13.94524201          0.     203996.        0.        0.     
   449    4  1 -1  0  0  1  0  0  0  0  0  0 13.94524201          0.      84120.        0.        0.     
   450    3  1 -1  0  1 -1  0  0  0  0  0  0 13.94547101   -1888639.          0.        0.        0.     
   451    3  1 -1  0  1  0  0  0  0  0  0  0 13.94767741   12748312.          0.        0.        0.    
   452    3  1 -1  0  1  1  0  0  0  0  0  0 13.94988382   -1664363.          0.        0.        0.     
   453    2  1 -1  0  2 -1  0  0  0  0  0  0 13.95011282          0.     951983.        0.        0.     
   454    2  1 -1  0  2  0  0  0  0  0  0  0 13.95231923          0.  -33033803.        0.    27200.    
   455    2  1 -1  0  2  1  0  0  0  0  0  0 13.95452563          0.   -5385503.        0.        0.     
   456    2  1 -1  0  2  2  0  0  0  0  0  0 13.95673204          0.     203996.        0.        0.     
   457    2  1 -1  1 -1  0  0  0  0  0  0  0 13.97946243          0.    -190397.        0.        0.     
   458    2  1 -1  1  0 -1 -1  0  0  0  0  0 13.98189587          0.    1618371.        0.        0.     
   459    2  1 -1  1  0  0 -1  0  0  0  0  0 13.98410228          0.   15517319.        0.   -27200.     
   460    2  1 -1  1  0  0  1  0  0  0  0  0 13.98410620          0.     747986.        0.        0.     
   461    2  1 -1  1  0  1  1  0  0  0  0  0 13.98631261          0.    -475991.        0.        0.     
   462    3  1 -1  1  1  0 -1  0  0  0  0  0 13.98874409      94432.          0.        0.        0.     
   463    2  1 -1  1  1  0  0  0  0  0  0  0 13.98874605          0.     339994.        0.        0.     
   464    2  1 -1  1  2  0 -1  0  0  0  0  0 13.99338591          0.    -407993.        0.        0.     
   465    2  1 -1  2 -2 -1  0  0  0  0  0  0 14.01368285          0.    -543990.        0.        0.     
   466    2  1 -1  2 -2  0  0  0  0  0  0  0 14.01588925          0.   -2923947.        0.        0.     
   467    3  1 -1  2 -1 -1  0  0  0  0  0  0 14.01832466    -365924.          0.        0.        0.     
   468    3  1 -1  2 -1  0  0  0  0  0  0  0 14.02053107    2478838.          0.        0.        0.     
   469    3  1 -1  2 -1  1  0  0  0  0  0  0 14.02273747    -342316.          0.        0.        0.     
   470    2  1 -1  2  0 -1  0  0  0  0  0  0 14.02296647          0.    1903966.        0.        0.     
   471    2  1 -1  2  0  0 -2  0  0  0  0  0 14.02516896          0.     190397.        0.        0.     
   472    2  1 -1  2  0  0  0  0  0  0  0  0 14.02517288          0.  -66829192.        0.    27200. TAU1
